Student#,Birth Place,I started Hunter as,How I travel to school, L/R handed,I would rather go to school than work,A High School should have a dress code,My favorite season is,I use a seat belt,I am registered to vote,My favorite sport to watch,My favorite sport to participate in,I play a musical instrument,I have a pet,My resting pulse is,I read this many books per year,Siblings,BirthOrder,I have earned this many credits,I study this many hours per week,I watch this many movies per year,I want to major in,My favorite color is,My favorite fruit is,At home I speak,My favorite subject is,My least favorite subject is,I watch this many hours of TV,Where I started school in,Buy text?,Read text?,Learn from reading the text?,Learn from reading my notes?,Learn from working problems?,Learn from rewriting my notes?,Learn from working with a tutor?,Learn from working with another student?,I took Statistics because ,I am Math-Anxious,I am good in math,Height,Weight,VerbalSAT,MathSAT,SAT,GPA
142,USA,freshman,walk,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,football,racquetball,TRUE,FALSE,unknown,2,1,1,6,Unknown,2,psychology,red,mango,English,psychology,chemistry,4,USA,always,always,yes,yes,yes,no,yes,yes,chose to take,FALSE,TRUE,71,150,590,650,1240,2.94
209,Nicaragua,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,basketball,basketball,FALSE,TRUE,unknown,4,2,2,16.5,Unknown,2,education,blue,mango,Spanish,English,geology,16,Nicaragua,always,always,yes,yes,yes,no,yes,yes,chose to take,FALSE,TRUE,70,210,520,580,1100,2.9
150,USA,freshman,ride the bus,Right,FALSE,TRUE,SUMMER,TRUE,FALSE,football,volleyball,FALSE,TRUE,30,50,2,2,105.5,25,2,sociology,red,orange,Spanish,English,math,220,USA,always,always,yes,yes,yes,yes,yes,no,it's required,TRUE,FALSE,70,255,420,520,940,2.36
63,USA,sophomore,ride the subway,Right,TRUE,FALSE,FALL,TRUE,TRUE,basketball,soccer,FALSE,FALSE,unknown,3,2,1,58,4,3,anthropology,black,strawberry,Spanish,psychology,math,2,USA,always,always,yes,yes,yes,yes,no,no,it's required,TRUE,TRUE,73,185,650,530,1180,2.5
109,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,basketball,basketball,FALSE,TRUE,unknown,2,2,2,9,10,8,computer science,black,banana,English,math,history,8,USA,always,usually,yes,yes,yes,no,no,yes,chose to take,FALSE,TRUE,61,138,550,550,1100,2.8
29,Philippines,freshman,ride the subway,Left,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,swimming,FALSE,TRUE,69,20,5,6,Unknown,Unknown,2,physical therapy,green,mango,Tagalog,psychology,math,15,Philippines,usually,usually,yes,yes,yes,no,no,no,it's required,TRUE,FALSE,66,126,610,650,1260,3.79
214,Trinadad,freshman,ride the subway,Right,TRUE,TRUE,FALL,TRUE,FALSE,basketball,basketball,FALSE,TRUE,30,15,2,3,12,36,3,psychology,green,grape,English,history,English,8,Trinidad,always,sometimes,yes,yes,yes,yes,no,no,it's required,TRUE,TRUE,72,153,560,690,1250,2.85
122,USA,freshman,"walk, ride the subway",Right,TRUE,TRUE,FALL,TRUE,FALSE,none,volleyball,TRUE,TRUE,48,7,1,2,33,14,0,nutrition and food science,blue,none,English,physical science,psychology,2,USA,usually,always,yes,no,yes,no,yes,no,chose to take,TRUE,FALSE,70,167,550,680,1230,3.3
104,USA,freshman,ride the bus,Right,TRUE,FALSE,FALL,FALSE,FALSE,none,walking,FALSE,FALSE,unknown,3,1,1,15,10,4,psychology,green,apple,English,English,science,40,USA,always,never,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,63,110,490,630,1120,3.1
273,Sweden,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,figure skating,aerobics,TRUE,FALSE,80,4,1,1,13,30,1,marketing,blue,orange,English,anthropology,English,10,Sweden,always,always,yes,yes,yes,no,no,no,chose to take,TRUE,FALSE,68,160,530,650,1180,3.05
91,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,none,volleyball,TRUE,TRUE,unknown,4,1,1,27,3,1,education,all,all,English,English,history,0,USA,always,sometimes,yes,yes,yes,yes,no,no,chose to take,FALSE,TRUE,74,165,660,710,1370,3.57
170,USA,freshman,"walk, ride the bus",Right,TRUE,TRUE,FALL,TRUE,TRUE,gymnastics,bicycling,FALSE,TRUE,60,13,1,2,21,22,1,nursing,yellow,strawberry,English,literature,political science,4,USA,always,usually,yes,no,yes,no,no,no,it's required,TRUE,FALSE,67,140,610,650,1260,3.22
40,USA,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,football,golf,TRUE,TRUE,68,10,0,1,54,11,1,medical engineer,black,apple,English,art history,writing,5,USA,always,always,yes,yes,yes,yes,no,no,chose to take,TRUE,TRUE,70,145,550,500,1050,3
108,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,none,football,TRUE,TRUE,80,2,1,1,15,5,1,psychology,blue,apple,English,psychology,French,5,USA,always,always,yes,yes,yes,yes,no,yes,it's required,FALSE,TRUE,74,235,660,710,1370,3.3
88,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,TRUE,hockey,volleyball,FALSE,FALSE,unknown,0,6,7,24,14,1,physical therapy,yellow,grape,English,psychology,physics,10,USA,always,sometimes,no,yes,yes,yes,yes,no,it's required,TRUE,FALSE,67,140,650,550,1200,3.1
5,USA,freshman,ride the subway,Right,FALSE,FALSE,FALL,FALSE,FALSE,basketball,baseball,TRUE,FALSE,75,15,1,1,24,3,1,physical therapy,green,kiwi,English,none,none,10,USA,always,sometimes,yes,yes,yes,yes,yes,no,it's required,TRUE,TRUE,65,150,720,450,1170,2.7
161,USA,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,football,golf,TRUE,TRUE,60,0,3,4,27,Unknown,1,psychology,gray,pear,English,biology,history,10,USA,always,usually,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,65,140,600,650,1250,3.3
156,Trinadad,sophomore,ride the subway,Right,TRUE,FALSE,WINTER,TRUE,FALSE,baseball,tennis,FALSE,TRUE,69,5,2,3,32,18,1,physical therapy,green,peach,English,English,humanities,10,USA,always,usually,yes,yes,yes,no,yes,no,it's required,TRUE,FALSE,65,135,630,620,1250,3.6
70,Germany,sophomore,ride the subway,Right,TRUE,TRUE,SPRING,FALSE,FALSE,gymnastics,swimming,TRUE,FALSE,unknown,5,1,2,12,15,1,English,black,strawberry,Korean,English,calculus,14,Germany,always,never,yes,no,no,no,no,yes,it's required,TRUE,FALSE,67,140,610,650,1260,3.22
217,Romainia,freshman,walk,Right,TRUE,TRUE,FALL,TRUE,FALSE,tennis,volleyball,FALSE,FALSE,unknown,3,2,2,20,15,1,physical therapy,navy,strawberry,Romanian,English,history,14,Romania,usually,usually,no,yes,yes,yes,no,yes,it's required,TRUE,FALSE,65,104,710,680,1390,3.55
118,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,TRUE,TRUE,basketball,volleyball,FALSE,FALSE,unknown,12,1,2,12,10,1,psychology,purple,banana,Spanish,no favorite,none,20,USA,always,usually,yes,yes,yes,no,no,no,it's required,TRUE,FALSE,65,110,550,640,1190,3.4
146,Canada,junior,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,TRUE,basketball,none,FALSE,FALSE,80,3,1,2,97.5,20,1,nursing,blue,orange,English,history,literature,48,USA,always,always,yes,yes,yes,no,no,yes,it's required,TRUE,TRUE,70,165,600,630,1230,3.4
124,USA,sophomore,walk,Right,TRUE,FALSE,SPRING,TRUE,TRUE,baseball,tennis,TRUE,TRUE,unknown,12,1,1,64,16,2,psychology,blue,cherry,English,no favorite,math,2,USA,always,always,no,no,yes,no,yes,yes,it's required,TRUE,FALSE,67,155,610,590,1200,3.48
174,USA,junior,ride the subway,Right,FALSE,FALSE,FALL,TRUE,TRUE,baseball,basketball,TRUE,TRUE,unknown,3,1,1,10,6,2,social work,blue,strawberry,English,English,math,5,USA,always,always,yes,yes,yes,yes,no,no,it's required,TRUE,FALSE,69,155,620,660,1280,3.4
